,Tweet ID,Content,Named Candidate/Partylist
23,tweet_id:1918511432880058375,"#Halalan2025: The Philippine National Police (PNP) will raise a full alert status starting Saturday to ensure peaceful and orderly midterm elections on 12 May 2025.#PNP #DailyTribuneRead more at: tribune.net.ph/2025/05/02/pnp
…",
24,tweet_id:1911596214505886006," DAILY REMINDER  

PLEASE WE NEED Y'ALL COOPERATION IN THIS VOTING WE ONLY HAVE 1 DAY LEFT AND THE GAP STILL SO BIG. LET'S FIGHT UNTIL THE END!!! FOCUS MUNA TAYO SA VOTING HAYAAN MUNA NATIN ANG PUKSAAN.",
25,tweet_id:1905100212995059957,"""The Philippine National Police (PNP) will ramp up the deployment of its personnel during the local campaign period for the 2025 midterm #elections. The campaign period for local candidates is set to begin on Friday, March 28."" #Philippines #Halalan2025",
26,tweet_id:1839159432690937976,"Traditional opposition are fielding returning lawmakers in the 2025 party-list elections:

• FSen. Leila de Lima  Mamamayang Liberal
• FRep. Gary Alejano  Magdalo
• FRep. Neri Colmenares  Bayan Muna
• Former Kabataan Rep. Sarah Elago  Gabriela#Halalan2025",Liberal
27,tweet_id:1906935542346043671,"#Halalan2025: A total of 77 Philippine embassies and consulates worldwide will implement internet voting for the upcoming national and local elections in May, according to the Commission on Elections (Comelec).

Read more at: tribune.net.ph/2025/04/01/77-
…#DailyTribune #COMELEC",
28,tweet_id:1876456471707496505,"""A nationwide gun ban, coinciding with the start of the official campaign period for the May 2025 midterm #elections, will take effect on Sunday, Jan. 12, the Philippine National Police (PNP) announced yesterday."" #Philippines #Halalan2025 #Eleksyon2025",
29,tweet_id:1914633651364749529,"Ngayong election this coming May 12, 2025

Don't forget to put Kiko Pangilinan (51) and Bam Aquino (5) in your senatorial slate!#Halalan2025",Bam Aquino
30,tweet_id:1877551185768694030,"""The Commission on Elections en banc on January 9 classified 38 towns and cities as red areas ahead of the May 2025 midterm polls."" #Elections #Philippines #Halalan2025 #Eleksyon2025 pcij.org/2025/01/10/202
…",
31,tweet_id:1891001426199072871,"LISTAHAN NG IBOBOTO: KABATAAN SA KONGRESO, TAUMBAYAN SA SENADO! Hindi pa ba kompleto ang iyong listahan? O naghahanap pa ng iboboto? DON'T FEAR, COZ WE GOT YOU  COVERED!  Sa darating na May 2025 Elections, never forget na LABINDALAWANG (12) SENADOR at ISANG (1)",
32,tweet_id:1899744373971263890,"#Halalan2025: The Philippines conducts synchronized congressional and local elections, excluding regional and barangay levels, every three years on the second Monday of May. This system has been in place since 1992.

Read more at: tribune.net.ph/2025/03/12/hal
…#DailyTribune",
33,tweet_id:1889150847051067652,"Senators 5 Bam Aquino 45 Heidi Mendoza 51 Kiko Pangilinan

Partylist 6 ML Partylist
or 51 Akbayan Partylist#Halalan2025",Bam Aquino
34,tweet_id:1891432583692484973,"IPARAMDAM NATIN ang NGALIT ng 32M sa May 2025 election.

VOTE straight PDP-Laban SENATE slate!10 - Bondoc, Jimmy
22 - Dela Rosa, Bato
28 - Go, Bong
30 - Hinlo, Jayvee
34 - Lambino, Raul
38 - Marcoleta, Rodante
53 - Quiboloy, Apollo
56 - Rodriguez, Vic
58 - Salvador, Ipe",PDP
35,tweet_id:1919750994822627823,"𝐀𝐁𝐒-𝐂𝐁𝐍 𝐍𝐄𝐖𝐒 𝐓𝐎 𝐃𝐄𝐋𝐈𝐕𝐄𝐑 𝐌𝐀𝐑𝐀𝐓𝐇𝐎𝐍 𝐑𝐎𝐔𝐍𝐃-𝐓𝐇𝐄-𝐂𝐋𝐎𝐂𝐊 𝐂𝐎𝐕𝐄𝐑𝐀𝐆𝐄 𝐅𝐎𝐑 𝐇𝐀𝐋𝐀𝐋𝐀𝐍 𝟐𝟎𝟐𝟓

ABS-CBN News is set to mount a comprehensive special coverage with real-time updates and in-depth analysis of this year’s midterm election",
36,tweet_id:1878109617051328530,"Simula na ng election period para sa #Halalan2025 sa Mayo 12.
 
Kasabay nito, ipatutupad na rin ang gun ban.",
37,tweet_id:1896125886279352404,Ang listahan ng ating mga iboboto sa May 2025 elections. Never to the Marcoses and his relatives ever again. No more chance given to them sa kanilang pambubudol sa bayan. #votestraighpdplaban#DutertePaRin ,pdp
38,tweet_id:1827935745828647177,"The Makabayan bloc announces its senatorial slate for the 2025 midterm elections at Liwasang Bonifacio during the observance of National Heroes Day on Monday, August 26, 2024. #Halalan2025 

From left to right: 
Mody Floranda
Jocelyn Andamo
Teddy Casiño
Arlene Brosas
Ronnel",Makabayan
39,tweet_id:1914847943204733278,"LOOK: Comelec's precinct finder for the #Halalan2025 this May 12 is already up.   

You can find your polling place at precinctfinder.comelec.gov.ph. | via ",
40,tweet_id:1842437059383832828,"Kabataan Partylist filed its certificate of candidacy before the Commission on Elections on Saturday, October 5, fielding 10 nominees for the 2025 midterm elections.",
41,tweet_id:1919605438393319553,"Malacanang has declared May 12, 2025, the day of the midterm elections, as a national holiday. #Eleksyon2025 | via Ivan Mayrina/GMA Integrated News",
42,tweet_id:1919600702646898919,"JUST IN: President Ferdinand Marcos Jr. to declare May 12, 2025 as a national holiday for #Halalan2025, according to Malacañang. | via Read: abs-cbn.com/news/nation/20
…",
43,tweet_id:1919617181438136802,"READ: Proclamation 878, declaring Monday, May 12, 2025 a special non-working holiday throughout the country for #Halalan2025. | via Full story: abs-cbn.com/news/nation/20
…",
44,tweet_id:1874969150260760665,Free Palestine,
45,tweet_id:1882802765803761817,2015                                   2025,
46,tweet_id:1879802461743095882,Free Palestine,
47,tweet_id:1888987035924578686,"Ngayong #Halalan2025 piliin ang partylist na subok na sa pakikibaka para sa interes nating lahat sa loob at labas ng Kongreso.

Ipaglaban natin ang:Pagtaas ng sweldoPagbaba ng presyoPaglaban sa Korapsyon!",
48,tweet_id:1789616040252711007,"PILIIN NATIN ANG PILIPINAS Isang taon na lang bago ang 2025 midterm elections.

Kahit mahirap ipaglaban, sa #Halalan2025, PILIIN NATIN ANG PILIPINAS.#MagpaRehistroKa",
49,tweet_id:1920977083360313611,Nasusunod ba ito sa inyong lugar? #Halalan2025,
50,tweet_id:1920901384729178216,"Kung isang taon kang nagpakabopols, okay lang. Pero sa Lunes? TEKA MUNA. Wag naman sana ‘yung boto mo, pati IQ mo ibababa. Pili ng maayos!  #Eleksyon2025",
51,tweet_id:1920871766827626632,Will the Filipino voting public want to keep all three Villars in power?  #PHVote #AmbagNatin,
52,tweet_id:1920864431736562148,omg a hit tweet who gaf @ FILIPINOS please consider voting the MAKABAYAN slate if you still have blanks in your lists and Gabriela for partylist. lets love each other PLEASEE #46GabrielaPartylist #TaumbayanSaSenado #Halalan2025,MAKABAYAN
53,tweet_id:1920854508533334479,"Ay wow sumasapaw #ParaSaBayan ! 

Kapamilya Actress Sharlene San Pedro shared her list of senators for #Halalan2025  Tara, iconsider natin! 5 AQUINO, Bambam  51  PANGILINAN, Kiko  25 ESPIRITU , Luke 45 MENDOZA, Heidi

For party-list (choose one):
 #51 Akbayan
#6 ML",
54,tweet_id:1920838922159956041,"Vote Kiko Pangilinan and 
Bam Aquino  sa May 12  mga baklaaaaaaaa  #Halalan2025",Bam Aquino
55,tweet_id:1920837089299489014,"""HINDI TAYO AATRAS""

WATCH: President Bongbong Marcos asserts the Philippines will not retreat in defending its territory, even against powerful foreign forces. |  RTVM#VoteWatch #Eleksyon2025",
56,tweet_id:1920833333375693268,"""HINDI TAYO AATRAS""

WATCH: President Bongbong Marcos asserts the Philippines will not retreat in defending its territory, even against powerful foreign forces.  RTVM#VoteWatch #Eleksyon2025",
57,tweet_id:1920830577810210939,lahat ng kinilig ay required mag lapag ng BBS SHUCA votes sa maya app #Halalan2025,
58,tweet_id:1920827942692618370,The Final Word:#Halalan2025,
59,tweet_id:1920807042446487865,"""Mapanuri at pag-isipanng mabuti. Vote wisely""- BGYO
I stan the right group.#Halalan2025 #BGYO ",
60,tweet_id:1920805907891380274,"#BGYO ending their live by reminding everyone to vote wisely.

“Maging mapanuri at matalino sa mga iboboto”

nah i stan the right group#Halalan2025 #Election2025",
61,tweet_id:1920805108616503630,"Mga Kakampinks, 2-0 Strategy tayo para makapasok sa Top 12 sila Bam Aquino at Kiko Pangilinan!

VOTE FOR BAM AQUINO AND KIKO PANGILINAN ONLY. #Halalan2025",Bam Aquino
62,tweet_id:1920801471655772332," “We got that power, power! ”  

Bakit mahalaga ang boto mo? Kasi habang kumakalat ang disinfo at nauuso ang pagiging deadma, ikaw ang magtutulak ng totoong pagbabago. 

You are the moment. You are the movement.
Kaya sa eleksyon—vote like you mean it#Eleksyon2025",
63,tweet_id:1920781433989145050,"Heidi, Bam, Kiko pangilinan, luke espiritu#halalan2025",luke espiritu
64,tweet_id:1920779922773086279,Ang pulitika ng pambansang minorya! Buong pusong ineendorso ng Kabataan Para sa Tribung Pilipino o KATRIBU Youth ang #59 Bayan Muna Partylist at ang buong Makabayan Slate sa darating na #Halalan2025!,Makabayan
65,tweet_id:1920777127533695463,"The miting de avance for senatorial candidates Atty. Luke Espiritu and Leody de Guzman kicks off at Liwasang Bonifacio in Manila.   

Partido Lakas ng Masa Chairman Sonny Melencio opens the program. #Halalan2025 | via ",Luke Espiritu
66,tweet_id:1920777040413741306,"I’m not voting based on “winnability” (h8 the word). I’m voting for candidates whose principles and morals reflect my own values.

Elections shouldn’t be a game of odds, but a stand for what we truly believe in. I still have one more slot for senator, suggestions? #Halalan2025",
67,tweet_id:1920773693581509031,Bumoto ng tama at nang tama #ALAMAT #ALAMATMulto#Halalan2025,
68,tweet_id:1920729879240171780,"Throwback to my film shots during the Ayala rally last 2022.

Sana di pa tayo mawalan ng pag-asa kahit ang hirap hirap  bumoto tayo nang maayos sa Lunes. #Halalan2025",
69,tweet_id:1920720226498249021,"Villar, Marcos, Binay, Tolentino, Dela Rosa, Abalos, Revilla, and Go. Based on data from Nielsen Ad Intel from January 2024 to March 2025. #phvoteRead our report: pcij.org/2025/05/09/8-s
…",
70,tweet_id:1920716711478641126,BAM AQUINO AT KIKO PANGILINAN LANG AKO FOR SENATOR NGAYONG #Halalan2025!,BAM AQUINO
71,tweet_id:1920675663301779810,"Belle’s latest IG story#BelleMariano  #DonBelle 

Vote Wisely on May12 everyone! #Halalan2025",
72,tweet_id:1920670224874934426,"Dahil bawat boto ay mahalaga, bumoto nang wasto at tama. #Halalan2025",
73,tweet_id:1920668362859749835,"Ang Kandidatong gumastos ng malaki habang kampanya, malaki din ang babawiin sa kaban ng Bayan kapag nakaupo na. Pilipinas, we deserve better governance.Enough of the circus sa gobyerno. Talinuhan natin sa pagboto sa May 12. #Halalan2025",
74,tweet_id:1920576280593944839,Ang hilig ng mga Pinoy talaga kahit saang kumpetisyon. Boplaks lang pagdating sa eleksyon. Hmmmm   #Eleksyon2025,
75,tweet_id:1920509390848729523,"Bagong tinig, iisa pa ring himig.

Nagsama-sama sina Maki, BGYO, Angela Ken, WRIVE, Carmelle Collado at Sofronio Vasquez para sa theme song ng ABS-CBN News ngayong #Halalan2025.

Streaming na sa ABS-CBN News YouTube, Facebook, at sa Spotify at Apple Music. #AkoAngSimula",
76,tweet_id:1920509002896847294,"Bagong tinig, isa pa ring himig.

Panoorin at pakinggan ang pagsasama-sama nina Maki, BGYO, Angela Ken, WRIVE, Carmelle Collado at Sofronio Vasquez para bigyang-buhay ang theme song ng ABS-CBN News ngayong #Halalan2025.

Streaming na sa ABS-CBN News YouTube, Facebook, at sa",
77,tweet_id:1920503320470565198,"Oplan 2-0 tayo mga Kakampinks!

Para may chance manalo sila BAM AQUINO AT KIKO PANGILINAN SA SENADO! #Halalan2025Vote for Bam Aquino and Kiko Pangilinan ONLY!",BAM AQUINO
78,tweet_id:1920481410865115158,"Mga Kakampinks, sama-sama nating ipanalo sila Bam Aquino at Kiko Pangilinan sa Senado!

VOTE BAM AQUINO AND KIKO PANGILINAN FOR SENATOR.

2-0 Strategy! May chance makapasok sila sa Top 12! #Halalan2025",Bam Aquino
79,tweet_id:1920452416433959006,"DUTERTE YOUTH HIT WITH DISQUALIFICATION COMPLAINT

Duterte Youth, one of the leading party-list groups in pre-election surveys, was hit with a disqualification complaint over repeated red-tagging. #Eleksyon2025Read: philstar.com/headlines/2025
…",
80,tweet_id:1920451415119372799,"Kiko, Bam, Heidi, and Luke are my official top 4. Let’s use our small voices to make a difference

PARA SA BAYAN#Halalan2025 #VoteWisely",
81,tweet_id:1920429998160093378,"VOTE FOR BAM AQUNO AND KIKO PANGILINAN ONLY FOR SENATOR.

2-0 Strategy para makapasok sa Top 12 ang KikoBam! #Halalan2025",
82,tweet_id:1920419231407222821,"Kinawayan lang, akala mo may chance na? Ano 'yan, delulu? Mapa-relasyon man 'yan o para sa bayan, mahirap makulong sa idea ng ""Nanoships""! Kaya ngayong #Eleksyon2025, 'wag na tayong magpadala sa sarili nating pantasya. Bumoto tayo ng taong may plataporma at may puso na",
83,tweet_id:1920360147353817109,"Kung gusto nyo makapasok sa TOP 12 ngayong Halalan 2025 sila Bam Aquino at Kiko Pangilinan, DAPAT SILANG DALAWA LANG ANG IBOBOTO NYONG SENADOR. #Halalan2025 

BAM AQUNO AND KIKO PANGILINAN ONLY for Senator!",Bam Aquino
84,tweet_id:1920353534777708683,"WAG SAYANGIN ANG BOTO MO.

BAM AQUINO AT KIKO PANGILINAN LANG TAYO. #Halalan2025 #MLPartylist for Leila De Lima",BAM AQUINO
85,tweet_id:1920348187304271880,"Hope for the best, prepare for the worst

Nakakapanlumo! #Halalan2025",
86,tweet_id:1920333410133844389,"'[Sia's remarks] revealed a troubling lack of respect for human dignity and a serious disregard for the standards of decency and ethical conduct expected of anyone seeking public office,' reads the ruling by the all-male 2nd Division #PHVote rappler.com/philippines/el
…",
87,tweet_id:1920331395316035782,Residents of Tierra Nova in Caloocan realize they are not the only long-suffering clients of PrimeWater.  #PHVote,
88,tweet_id:1920310184586723441,Comelec division disqualifies Pasig bet Christian Sia #Halalan2025,
89,tweet_id:1920298070157230484,JUST IN: Disqualified na ng Comelec 2nd Division si Pasig congressional bet Atty. Christian Sia dahil sa kanyang solo parent joke sa isang kampanya noong Abril. #Halalan2025 | via ,
90,tweet_id:1920291816794214721,Ibinasura ng Comelec ang motion for reconsideration ng Pilipinas Babangon Muli o PBBM Party-list at tuluyang kinansela ang registration nito. #Halalan2025 | via ,
91,tweet_id:1920278722332041593,Darren u did so well last night for being a good example for the youth. Salamat sa yong matapang na paninindigan sa tama at nararapat na iboto bilang Senador sa #Halalan2025. I will always be proud of u Darren!#DARREN #KikoBam2025#KikoPangilinan#KikoSaSenado2025,
92,tweet_id:1920223866019840061,"Recto Family
Ralph Recto na nagpahirap sa bayan#Halalan2025   #Eleksyon2025",
93,tweet_id:1920214754003726405,"5 Bam Aquino  
6 Ronnel Arambulo
8 Dodoy Ballon
13 Arlene Brosas
17 France Castro
19 David D’Angelo
25 Luke Espiritu  
43 Sonny Matula  
45 Heidi Mendoza  
51 Kiko Pangilinanan  
54 Danilo Ramos#halalan2025",Bam Aquino
94,tweet_id:1920162670789210282,"#51AkbayanVoterAkoDahil alam kong hindi masasayang ang boto ko sa Akbayan, may naisulong silang batas para mapabuti ang kalagayan ng mga PWD, at dahil matagal ko na gusto makita sa gobyerno si .#Halalan2025 #VoteWisely  x.com/AkbayanParty/s
…",
95,tweet_id:1920145913563255243,"Dapat lahat ng Kakampinks, sila BAM AQUINO AT KIKO PANGILINAN LANG ANG IBOBOTONG SENADOR.

Para makapasok sila sa Top 12. Wag na magdagdag ng kung sino. #Halalan2025ML PARTYLIST FOR LEILA DE LIMA.",BAM AQUINO
96,tweet_id:1920142546627621345,"""Ipanalo na natin ang tama!
Ipanalo na natin ang katotohanan!
Ipanalo na natin ang Pilipinas!""

Karong Lunes, ibalik nato si Kiko Pangilinan sa Senado.#51PangilinanKiko#Halalan2025#KikoSaSenado2025",
97,tweet_id:1920139921261817902,"Just got home mula sa isang successful na miting de avance para kay Kiko Pangilinan.

Let's go Cebu!
Let's go ! #Halalan2025#51PangilinanKiko#HelloPagkain",
98,tweet_id:1920135027607716234,"Sharing with you my senatorial & partylist picks. Let’s vote wisely, guys! Para sa atin, para sa mga mahal natin sa buhay, para sa mga kapwa nating Pilipino, para sa bayan… PARA SA PILIPINAS! #Halalan2025",
99,tweet_id:1920122618268795374,Extra Pogi talaga kapag tamang kandidato ang sinusuportahan! Hayyy  the best boy that you are!Maraming Salamat sa muling pagtindig para sa bansa! We’re so proud of you!#DARREN joins Senator Kiko Pangilinan’s campaign rally.#51PangilinanKiko #Halalan2025,
100,tweet_id:1920105271659299256,"first time voter and im glad that i got to use my right to vote for a better philippines  

XYRIEL FOR MAGIC 12 DYAN KA MUNA ANNA MANALASTAS #IVoted #Eleksyon2025",
101,tweet_id:1920101317311168724,"""BOBOTANTE?""

Hindi tamang sisihin at tawaging ""bobotante"" ang ordinaryong masang Pilipino dahil ""nabudol"" lang sila ng mga politiko, giit ng isang eksperto. #Halalan2025  

Panoorin: youtu.be/g1k7u8AyEes?si
…",
102,tweet_id:1920097911251378221,"Piliin ang tama, piliin ang dapat. Nang sa dulo hindi ikaw ang nginangasab. #Remake #Halalan2025 #WagPangasabSaBuwaya",
103,tweet_id:1920090131035537545,Now at Kiko Pangilinan's Miting de Avance in Cebu. #51PangilinanKiko#Halalan2025,
104,tweet_id:1920086229216841823,"LOOK: Senator Imee Marcos suffers third degree burns after Karen Davila calls out her hypocrisy and lies.

P.S. Can someone edit this and attach the Robert Wilde ending soundtrack na kenkoy in the end haha#ImeeProblema#Halalan2025",Imee Marcos
105,tweet_id:1920084233663492408,"Kiko Pangilinan once again courts the vote-rich province #PHVote rappler.com/philippines/el
…",
106,tweet_id:1920061261984764220,"LOOK: 'Bayan Muna Day' starts in Brgy. Tatalon, Quezon City participated by communities and Makabayan Coalition candidates. 

Led by Bayan Muna Partylist, Makabayan candidates will be laying out their platforms for the upcoming elections.#Halalan2025",Makabayan
107,tweet_id:1920030438841843958,"PH Election Twitter mapping out results,
PH Left arguing over who would win 2.1% of the vote (they lose anyway)
PH G*rangs talking about voter fraud thru sim cards & the internet (di marunong ng gforms)

5 days from now. Happy Elex! #Halalan2025",
108,tweet_id:1920020012149919776,"Not pbb related but here is my list of senators for #Halalan2025 

to those people na di pa kumpleto ang list baka pwede nyo sila i-include 

•5 BAM AQUINO
•51 KIKO PANGILINAN
•45 HEIDI MENDOZA
•25 LUKE ESPIRITU#Eleksyon2025",BAM AQUINO
109,tweet_id:1920009276585619760,"PAG SOLID PA RIN ANG KAKAMPINKS, MAY PAG-ASANG MAKAPASOK SA TOP 12 SILA BAM AQUINO AT KIKO PANGILINAN.

2-0 STRATEGY TAYO.

Vote for Bam Aquino and Kiko Pangilinan
ONLY.#Halalan2025",BAM AQUINO
110,tweet_id:1919994453218976220,Please ipagkalat nyo po ito sa facebook. BAM AQUINO AND KIKO PANGILINAN ONLY FOR SENATOR. #Halalan2025,BAM AQUINO
111,tweet_id:1919993103483580753,"POWER VOTE FOR BAM AQUINO AND KIKO PANGILINAN ONLY FOR SENATOR.

WAG NA MAGDAGDAG NA KUNG SINO.

Oplan 2-0 tayo mga Kakampinks!#Halalan2025ML PARTYLIST FOR LEILA DE LIMA.

Ipagkalat sa Facebook please!",BAM AQUINO
112,tweet_id:1919966812655255689,"WATCH: The Philippine National Police on Wednesday, May 7, activated the National Election Monitoring Action Center for real-time monitoring and coordination with all PNP units nationwide to ensure the orderly conduct of the mid-term polls. #Halalan2025 #SelfiePatrol",
113,tweet_id:1919964766908416480,"Mga DDShits, want to expose the Marcos admin's illicit practices? Then vote for ! 
BOBO mga Duter10 candidates ninyo. Hindi nila mahahanapan ng butas si BBM like Heidi can.

DON'T #BringPRRDHome  
DON'T #VoteStraightDuterTen #Halalan2025",DuterTen
114,tweet_id:1919954501689344273,"Mga Kakampinks, OPLAN 2-0 tayo!

BLOCK VOTING FOR BAM AQUINO AND KIKO PANGILINAN ONLY. #Halalan2025ML PARTYLIST FOR LEILA DE LIMA.",BAM AQUINO
115,tweet_id:1919953086984159497,A fun live interview with  for   as I discuss in detail the final #Halalan2025 survey of  for the season. This is our biggest and hottest survey yet-- the latest results show 15 candidates from Erwin Tulfo to Kiko Pangilinan in the likely,Erwin Tulfo
116,tweet_id:1919952390930710672,"""Bituing Walang Ningning"" is actually a good song choice for Kiko Pangilinan's campaign. Mabuti pa kaya'y maging bituing walang ningning
Kung kapalit nito'y walang paglaho mong pagtinginManalo man o matalo, basta prinsipyo ang ipinaglaban.#Halalan2025 #51PangilinanKiko",
117,tweet_id:1919951116152013255,"If Kiko does not do well in 2025, I hope he would at least give 2028 a chance.

Akala nga natin deds na ang Senate career ni Tito Sotto nung nag-#19 in 2007, malayong-malayo sa #1 in 1992 & #3 in 1998.

And yet, nakabawi siya, at ngayon, makakapag-5th term pa nga.#Halalan2025",Tito Sotto
118,tweet_id:1919922180692824242,"Pini-prito talaga tayo sa sarili nating mantika. Taena. Yung mga nagdadala ng buhangin mula sa Zambales, guess where they end up, #ScarboroughShoal . #WestPhilippineSea #Halalan2025",
119,tweet_id:1919754845764132997,"BAM AQUINO AT KIKO PANGILINAN LANG TAYO NGAYONG HALALAN 2025.

2-0 lang mga Kakampinks!

BLOCK VOTING TAYO FOR BAM AQUINO AND KIKO PANGILINAN. #Halalan2025",BAM AQUINO
120,tweet_id:1919749632562802800,Meme Vice Ganda () ikinampanya si Bam Aquino () sa kanyang social media accounts! Nasa naturang post din sina Ogie Alcasid () at Darren Espanto ().#Halalan2025,Bam Aquino
121,tweet_id:1919743694380388735,"VICE GANDA: Karapat dapat makabalik sa Senado. 

JUST IN: Vice Ganda pormal nang inendorso si Bam Aquino sa darating na #Halalan2025! #ViceGanda #BamAquino #BamAquinoSaSenado",Bam Aquino
122,tweet_id:1919739378198315193,"Here's how ABS-CBN News is planning its coverage of #Halalan2025.

Given that ANC is integrating more Filipino-language delivery to their live special coverages of late, it won't be surprising if both ANC and KapChan's coverage will just be a unified one.",
123,tweet_id:1919708727352930531,"Ang pinakamalaki, pinakakomprehensibo at pinakapinagkakatiwalaang #Eleksyon2025 coverage ay ihahatid ng GMA Integrated News!

Ang pagbabalita at pagbabantay sa boto ng mga Pilipino, dapat mabilis, dapat nauunawaan, dapat komprehensibo, at #DapatTotoo!

Tumutok sa Eleksyon 2025:",
124,tweet_id:1919694144764829935,#Halalan2025: Different senate bets preferred by Filipinos from different self-identified partisanships  Get the full brief: bit.ly/PPOMSignup,
